"","SiteStationYear","year","stationNumber","NEWloc","exp","siteNumber","meanshootlg","SLnbPIED","nbframe","BUBsum","BUBnbPIED","dens","propBUB","vac01","Count","SL01","BUBprop","BUBsum01","region","yearc"
"1305","FLB_3_2008",2008,3,"FL","B","FLB",5.3,10,5,5,10,0.2,0.5,0,0,1,0.5,1,"Trondelag",2008
"1306","FLB_3_2010",2010,3,"FL","B","FLB",10.4,10,5,7,10,0.2,0.7,1,4,1,0.7,1,"Trondelag",2010
"1307","FLB_3_2012",2012,3,"FL","B","FLB",9.21428571428571,14,5,0,14,0.2,0,1,22,1,0,0,"Trondelag",2012
"1308","FLB_3_2014",2014,3,"FL","B","FLB",10.8181818181818,11,5,1,11,0.2,0.0909090909090909,1,7,1,0.0909090909090909,1,"Trondelag",2014
"1309","FLB_3_2016",2016,3,"FL","B","FLB",11.8,10,4,0,10,0.25,0,1,23,1,0,0,"Trondelag",2016
"1310","FLB_3_2019",2019,3,"FL","B","FLB",15.6,10,17,0,10,0.0588235294117647,0,1,19,1,0,0,"Trondelag",2019
"1311","FLB_3_2021",2021,3,"FL","B","FLB",24.0833333333333,12,NA,0,12,NA,0,1,18,1,0,0,"Trondelag",2021
"1312","FLB_3_2023",2023,3,"FL","B","FLB",25.3,10,4,0,10,0.25,0,1,22,1,0,0,"Trondelag",2023
"1313","FLB_4_2008",2008,4,"FL","B","FLB",10.8181818181818,11,3,4,11,0.333333333333333,0.363636363636364,1,2,1,0.363636363636364,1,"Trondelag",2008
"1314","FLB_4_2010",2010,4,"FL","B","FLB",17.5,10,3,7,10,0.333333333333333,0.7,1,12,1,0.7,1,"Trondelag",2010
"1315","FLB_4_2012",2012,4,"FL","B","FLB",16.4,10,2,7,10,0.5,0.7,1,17,1,0.7,1,"Trondelag",2012
"1316","FLB_4_2014",2014,4,"FL","B","FLB",21.4545454545455,11,2,4,11,0.5,0.363636363636364,1,11,1,0.363636363636364,1,"Trondelag",2014
"1317","FLB_4_2016",2016,4,"FL","B","FLB",18.8,10,4,0,10,0.25,0,1,11,1,0,0,"Trondelag",2016
"1318","FLB_4_2019",2019,4,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2019
"1319","FLB_4_2021",2021,4,"FL","B","FLB",17.5833333333333,12,9,7,12,0.111111111111111,0.583333333333333,1,16,1,0.583333333333333,1,"Trondelag",2021
"1320","FLB_4_2023",2023,4,"FL","B","FLB",21.8,10,4,0,10,0.25,0,1,20,1,0,0,"Trondelag",2023
"1321","FLB_5_2008",2008,5,"FL","B","FLB",8.3,10,22,4,10,0.0454545454545455,0.4,0,0,1,0.4,1,"Trondelag",2008
"1322","FLB_5_2010",2010,5,"FL","B","FLB",10.9,10,26,6,10,0.0384615384615385,0.6,0,0,1,0.6,1,"Trondelag",2010
"1323","FLB_5_2012",2012,5,"FL","B","FLB",12.55,20,26,0,20,0.0384615384615385,0,0,0,1,0,0,"Trondelag",2012
"1324","FLB_5_2014",2014,5,"FL","B","FLB",19.2,10,39,4,10,0.0256410256410256,0.4,0,0,1,0.4,1,"Trondelag",2014
